transaction_id,customer_name,restaurant,category,country,quantity,unit_price,rating,transaction_date
1,Customer_457,Pizza Hut,Burger,India,4,1127.92,1.4,2025-10-16
2,Customer_2234,Pizza Hut,Sandwich,Sri Lanka,1,921.63,1.9,2026-01-28
3,Customer_109,Subway,Pizza,Singapore,4,2521.44,2.1,2025-09-08
4,Customer_27,KFC,Sandwich,Australia,5,1199.66,4.8,2026-06-09
5,Customer_419,Pizza Hut,Sandwich,Sri Lanka,6,4313.72,3.4,2024-12-10
6,Customer_178,Dominos,Fast Food,Singapore,2,2984.18,4.3,2026-04-06
7,Customer_1482,Subway,Pizza,Sri Lanka,1,3475.68,4.1,2025-09-25
8,Customer_954,Pizza Hut,Sandwich,Australia,8,3360.58,2.5,2024-03-22
9,Customer_1456,KFC,Burger,Sri Lanka,10,3357.4,3.1,2025-01-14
10,Customer_670,Dominos,Sandwich,Australia,9,1488.27,2.3,2024-09-07
11,,KFC,Fast Food,Australia,7,1704.83,1.8,2026-02-25
12,Customer_2941,Burger King,Pizza,Singapore,7,4481.07,3.6,2025-08-03
13,Customer_1085,KFC,Pizza,Australia,10,2427.95,3.3,2024-05-26
14,Customer_899,KFC,Sandwich,Sri Lanka,1,4374.96,1.6,2025-01-05
15,Customer_2788,Dominos,Fast Food,Singapore,7,3181.5,2.9,2024-06-12
16,Customer_2267,Pizza Hut,Fast Food,Australia,6,1001.98,2.7,2024-09-14
17,Customer_14,Burger King,Pizza,Sri Lanka,5,4287.51,3.0,2025-04-09
18,Customer_627,Burger King,Pizza,Sri Lanka,10,1958.7,1.1,2024-07-22
19,Customer_1260,KFC,Fast Food,India,10,4761.27,1.3,2025-01-06
20,Customer_284,Subway,Pizza,India,8,4760.82,1.7,2025-05-12
21,Customer_2485,Dominos,Pizza,sri lanka,5,2295.47,3.7,2025-06-24
22,Customer_1795,Subway,Sandwich,SRI LANKA,4,1511.14,2.4,2025-01-17
23,Customer_2269,KFC,fast food,Sri Lanka,2,3685.28,1.2,2025-08-25
24,Customer_129,Burger King,Fast Food,India,5,3510.4,1.9,2024-03-10
25,Customer_2963,Subway,Sandwich,India,8,4133.74,1.8,2024-05-15
26,Customer_2700,Dominos,Burger,Singapore,7,2601.61,3.9,2024-04-09
27,Customer_2677,Pizza Hut,Fast Food,Singapore,6,4102.67,1.4,2025-11-20
28,Customer_780,Subway,Sandwich,India,7,1325.7,2.9,2024-07-15
29,Customer_309,Dominos,Fast Food,Sri Lanka,9,4262.12,4.9,2026-06-14
30,Customer_969,KFC,Sandwich,Singapore,8,1461.86,2.6,2026-02-10
31,Customer_675,Dominos,Fast Food,Singapore,5,-500.0,4.1,2024-03-01
32,Customer_1733,Subway,Sandwich,India,4,1835.19,4.9,2024-10-19
33,Customer_2221,Pizza Hut,Burger,Sri Lanka,1,3128.8,3.0,2025-08-16
34,Customer_2176,KFC,Fast Food,Sri Lanka,3,808.35,1.3,2026-05-23
35,Customer_964,Dominos,Fast Food,India,10,3175.34,3.5,2026-06-01
36,Customer_2693,Subway,Burger,Australia,4,3513.77,2.3,2025-03-05
37,Customer_1622,KFC,Burger,Singapore,6,4680.58,4.7,2024-09-28
38,Customer_1878,Subway,Fast Food,Sri Lanka,9,1459.19,2.1,2024-01-10
39,Customer_282,KFC,Burger,Australia,3,2471.83,3.2,2024-12-23
40,Customer_2506,Subway,Fast Food,Australia,2,4725.19,1.5,2024-11-05
41,Customer_439,Subway,Pizza,Australia,5,3221.73,6.0,2024-04-28
42,Customer_2816,Burger King,Sandwich,Australia,1,915.34,2.7,2024-07-27
43,Customer_181,Pizza Hut,Burger,India,5,1227.12,2.8,2024-10-10
44,Customer_1752,Subway,Fast Food,Sri Lanka,2,4752.73,3.8,2025-12-23
45,Customer_2235,Pizza Hut,Burger,India,7,1073.5,2.2,2024-06-01
46,Customer_164,Burger King,Pizza,India,2,2091.55,3.2,2026-03-26
47,Customer_1665,Subway,Pizza,India,3,4892.93,4.2,2026-06-14
48,Customer_102,KFC,Burger,Singapore,4,1700.63,4.1,2025-02-26
49,Customer_1567,Pizza Hut,Sandwich,India,4,4174.64,2.8,2024-04-20
50,Customer_933,KFC,Fast Food,India,7,1977.18,4.5,2024-11-08
51,Customer_1144,Burger King,Sandwich,Australia,1,1019.04,4.9,2026-03-02
52,Customer_2379,Burger King,Fast Food,Sri Lanka,10,2455.54,3.9,2024-07-01
53,Customer_1788,Subway,Fast Food,Singapore,10,1355.35,1.2,2024-11-17
54,Customer_7,Subway,Pizza,Australia,7,814.88,3.7,2025-03-22
55,Customer_2553,Burger King,Fast Food,Australia,9,1891.78,2.6,2024-12-04
56,Customer_2856,Burger King,Pizza,India,7,3492.18,2.5,2025-02-16
57,Customer_713,Subway,Burger,Singapore,9,4251.76,2.2,2026-02-05
58,Customer_1761,Subway,Burger,Singapore,8,2489.72,1.9,2024-08-03
59,Customer_696,Pizza Hut,Burger,Australia,2,4182.91,4.0,2025-04-29
60,Customer_1272,KFC,Pizza,India,1,707.96,4.9,2025-11-19
61,Customer_299,Dominos,Sandwich,India,7,2724.7,2.0,2025-09-17
62,Customer_2817,Pizza Hut,Fast Food,Singapore,4,1291.49,4.8,2025-11-02
63,Customer_1903,Pizza Hut,Pizza,Sri Lanka,8,1100.03,2.9,2025-06-14
64,Customer_2290,Subway,Burger,Singapore,10,4167.53,4.6,2025-06-27
